Termination time of Current method: 2813319 ms
Termination time of new approach: 41421 ms
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
| #  | Type         | Nodes                                                             | Terminating OLD   | Termination NEW   | Time    |
| 330| non_recursive| [SyncServerAcceptorImpl.getConnection]                            | yes               | yes               | -       |
| 331| non_recursive| [case_89]                                                         | yes               | yes               | -       |
| 332| non_recursive| [case_88]                                                         | yes               | yes               | -       |
| 333| non_recursive| [defaultScheduleCost]                                             | yes               | yes               | -       |
| 334| non_recursive| [ClientJobImpl.getConnectionThread]                               | yes               | yes               | -       |
| 335| non_recursive| [SyncClientImpl.getId]                                            | yes               | yes               | -       |
| 336| non_recursive| [case_91]                                                         | yes               | yes               | -       |
| 337| non_recursive| [deadlineafter]                                                   | yes               | yes               | -       |
| 338| non_recursive| [gt]                                                              | yes               | yes               | -       |
| 339| non_recursive| [case_92]                                                         | yes               | yes               | -       |
| 340| non_recursive| [totaltime]                                                       | yes               | yes               | -       |
| 341| non_recursive| [Recorder.record]                                                 | yes               | yes               | -       |
| 342| non_recursive| [cont_22]                                                         | yes               | yes               | -       |
| 343| non_recursive| [if_22]                                                           | yes               | yes               | -       |
| 344| non_recursive| [SyncClientImpl.finishJob]                                        | yes               | yes               | -       |
| 345| non_recursive| [cont_25]                                                         | yes               | yes               | -       |
| 346| non_recursive| [ConnectionThreadImpl.command]                                    | yes               | yes               | -       |
| 347| non_recursive| [SyncClientImpl.nextJob]                                          | yes               | yes               | -       |
| 348| non_recursive| [ClientJobImpl.nextJob]                                           | yes               | yes               | -       |
| 349| non_recursive| [cont_28]                                                         | yes               | yes               | -       |
| 350| non_recursive| [cont_29]                                                         | yes               | yes               | -       |
| 351| non_recursive| [case_0]                                                          | yes               | yes               | -       |
| 352| non_recursive| [abs]                                                             | yes               | yes               | -       |
| 353| non_recursive| [case_42]                                                         | yes               | yes               | -       |
| 354| non_recursive| [updateJobData]                                                   | yes               | yes               | -       |
| 355| non_recursive| [if_29]                                                           | yes               | yes               | -       |
| 356| non_recursive| [case_21]                                                         | yes               | yes               | -       |
| 357| non_recursive| [isDurationInfinite]                                              | yes               | yes               | -       |
| 358| non_recursive| [if_28]                                                           | yes               | yes               | -       |
| 359| non_recursive| [cont_27]                                                         | yes               | yes               | -       |
| 360| non_recursive| [if_27]                                                           | yes               | yes               | -       |
| 361| non_recursive| [cont_26]                                                         | yes               | yes               | -       |
| 362| non_recursive| [ClientJobImpl.init]                                              | yes               | yes               | -       |
| 363| non_recursive| [SyncClientImpl.setNext]                                          | yes               | yes               | -       |
| 364| non_recursive| [cont_21]                                                         | yes               | yes               | -       |
| 365| recursive    | [ClientJobImpl.establishSchedule,ClientJobImpl.executeJob,SyncClientImpl.makeJob,SyncClientImpl.scheduleJob,entrywhile_15,if_21,if_23,if_25,if_26,while_15]| no                | no                | -       |
| 366| non_recursive| [DataBaseImpl.init]                                               | yes               | yes               | -       |
| 367| non_recursive| [DataBaseImpl.update]                                             | yes               | yes               | -       |
